IDENTIFIER,LAT,LON,ALTITUDE,IS_AIRPORT
NIGSI_FL000,47.36917,16.03611,0.0,0
NIMDI_FL000,48.802222,11.633611,0.0,0
NIMDU_FL000,47.17199,14.78268,0.0,0
NIPEL_FL000,46.489472,14.032597,0.0,0
NOBRU_FL000,48.969167,11.101167,0.0,0
NOKDA_FL000,46.855617,13.508125,0.0,0
NORGU_FL000,48.026535,9.974566,0.0,0
NORIN_FL000,47.387097,11.388431,0.0,0
NORPA_FL000,48.496667,16.418333,0.0,0
NORTO_FL000,47.266356,11.251822,0.0,0
NOTGA_FL000,48.956111,9.506389,0.0,0
NUNRI_FL000,47.586667,9.6525,0.0,0
NYW03_FL000,47.727261,9.733611,0.0,0
NYW04_FL000,47.697811,9.743594,0.0,0
NYW11_FL000,47.6631,9.490306,0.0,0
NYW12_FL000,47.626461,9.395875,0.0,0
OB249_FL000,48.082238,17.157335,0.0,0
OBAGA_FL000,47.598611,11.25,0.0,0
OBAXA_FL000,48.012222,11.665556,0.0,0
OBEDI_FL000,47.327897,13.329747,0.0,0
OBI07_FL000,48.155844,11.389581,0.0,0
OBI11_FL000,48.094781,11.301408,0.0,0
OBI16_FL000,48.061316,11.257983,0.0,0
OBI55_FL000,48.137764,11.363817,0.0,0
OBIKA_FL000,48.11722,11.553221,0.0,0
OBLLZ_FL000,48.178219,17.200081,0.0,0
ODNEM_FL000,48.8532,17.167844,0.0,0
OEJ00_FL000,47.314504,11.602422,0.0,0
OEJ04_FL000,47.289672,11.511148,0.0,0
OEJ06_FL000,47.276872,11.465348,0.0,0
OEJ11_FL000,47.245972,11.351248,0.0,0
OEJ14_FL000,47.227172,11.282848,0.0,0
OEJ17_FL000,47.208472,11.214648,0.0,0
OEJ18_FL000,47.202072,11.191548,0.0,0
OEJ20_FL000,47.195672,11.145548,0.0,0
OEN11_FL000,48.072547,16.598047,0.0,0
OEV00_FL000,47.2601,11.353475,0.0,0
OEV01_FL000,47.264672,11.472448,0.0,0
OEV04_FL000,47.278272,11.448448,0.0,0
OEV05_FL000,47.282867,11.472257,0.0,0
OEV06_FL000,47.287272,11.496048,0.0,0
OEV07_FL000,47.291572,11.519748,0.0,0
OEV08_FL000,47.295872,11.543248,0.0,0
OEV10_FL000,47.305075,11.590448,0.0,0
OEV12_FL000,47.313872,11.637848,0.0,0
OEV14_FL000,47.322872,11.685448,0.0,0
OEV16_FL000,47.331272,11.732748,0.0,0
OEV17_FL000,47.336572,11.761348,0.0,0
OEV22_FL000,47.357272,11.875148,0.0,0
OEZ13_FL000,48.3388,16.4886,0.0,0
OEZ34_FL000,48.324408,16.494494,0.0,0
OEZ55_FL000,48.01955,16.629592,0.0,0
OGEPI_FL000,46.787222,11.355556,0.0,0
OGRUB_FL000,47.915811,13.930034,0.0,0
OKR18_FL000,48.136528,17.178633,0.0,0
OLETU_FL000,48.466945,11.605833,0.0,0
OLPIX_FL000,46.973889,11.660833,0.0,0
OSPEN_FL000,47.48529,15.52742,0.0,0
OTRES_FL000,47.023333,10.7425,0.0,0
OTSIS_FL000,47.100742,10.845464,0.0,0
OZE02_FL000,46.37226,11.278981,0.0,0
OZE04_FL000,46.33986,11.265381,0.0,0
OZE06_FL000,46.30746,11.251781,0.0,0
OZE08_FL000,46.27516,11.237981,0.0,0
PABSA_FL000,48.52827,13.738139,0.0,0
PASAU_FL000,48.8025,13.651111,0.0,0
PELAD_FL000,46.598889,9.725833,0.0,0
PEREX_FL000,47.639528,13.243758,0.0,0
PESAT_FL000,47.715,17.053056,0.0,0
PESIM_FL000,48.399167,10.687167,0.0,0
PINKA_FL000,47.377778,15.830556,0.0,0
PITAR_FL000,47.029167,10.680556,0.0,0
PUBEG_FL000,47.511244,15.661994,0.0,0
R1756_FL000,48.1796,17.226464,0.0,0
R1757_FL000,48.1573,17.232528,0.0,0
R1803_FL000,46.977786,15.443281,0.0,0
R1804_FL000,48.111994,16.581461,0.0,0
R1805_FL000,48.088631,16.591339,0.0,0
R1816_FL000,47.667246,9.501002,0.0,0
R1817_FL000,47.675675,9.522711,0.0,0
R1819_FL000,48.233847,14.20563,0.0,0
R2115_FL000,48.089203,11.293772,0.0,0
R2130_FL000,48.362767,11.76755,0.0,0
R2131_FL000,48.340669,11.751017,0.0,0
R2132_FL000,48.344797,11.804614,0.0,0
R2133_FL000,48.366886,11.821172,0.0,0
R2398_FL000,48.714333,11.555833,0.0,0
R3055_FL000,48.073333,10.919167,0.0,0
RADLY_FL000,46.646008,15.208238,0.0,0
RASTA_FL000,47.495428,13.381367,0.0,0
RATGO_FL000,46.546183,16.037028,0.0,0
