V0,V1,D
DM456_FL000,EBEVO_FL000,14499.893
DM456_FL000,MUN40_FL000,15787.079
DM457_FL000,MDF11_FL000,10350.117
DM457_FL000,DM461_FL000,12204.974
DM457_FL000,DM458_FL000,12907.193
DM457_FL000,MUN17_FL000,14392.857
DM458_FL000,MUN17_FL000,6708.698
DM458_FL000,MDF11_FL000,10822.263
DM458_FL000,DM459_FL000,12907.398
DM459_FL000,MUN82_FL000,8338.856
DM459_FL000,MILLDORF_FL000,9216.522
DM460_FL000,OBIKA_FL000,2067.182
DM460_FL000,EUR29_FL000,4252.875
DM461_FL000,EBEDA_FL000,3555.968
DM461_FL000,EBEVO_FL000,5278.758
DM551_FL000,DMN19_FL000,12.321
DM561_FL000,DMS83_FL000,5522.209
DM562_FL000,DMS83_FL000,8186.988
DMN01_FL000,R2130_FL000,156.214
DMN02_FL000,DMN21_FL000,239.352
DMN11_FL000,R2133_FL000,168.483
DMN11_FL000,MSW35_FL000,2264.846
DMN18_FL000,MNW32_FL000,506.176
DMN19_FL000,DMN21_FL000,186.827
DMN35_FL000,DMS26_FL000,2337.170
DMS01_FL000,R2131_FL000,157.136
DMS01_FL000,MNE32_FL000,2279.557
DMS11_FL000,R2132_FL000,151.274
DMS14_FL000,MSE14_FL000,1189.027
DMS14_FL000,MAH46_FL000,7759.451
DMS31_FL000,MUNCHEN_FL000,2773.359
DODIL_FL000,REDVO_FL000,12129.517
DODIL_FL000,NORDLINGEN_FL000,15647.548
DODIL_FL000,XERUM_FL000,16699.777
DOMAL_FL000,LUSAN_FL000,11411.493
DOMAL_FL000,VADOV_FL000,39820.262
DONAX_FL000,DS524_FL000,2160.416
DONAX_FL000,DS514_FL000,5340.701
DONAX_FL000,DS523_FL000,7166.277
DONAX_FL000,DS513_FL000,8658.886
DONIX_FL000,REDVO_FL000,6005.000
DONIX_FL000,RIDAR_FL000,12202.449
DONIX_FL000,XERUM_FL000,13132.462
DS011_FL000,TGO10_FL000,81.126
DS011_FL000,DS517_FL000,4319.503
DS011_FL000,DS427_FL000,14412.479
DS020_FL000,LUBURG_FL000,18.940
DS021_FL000,LBU41_FL000,434.920
DS021_FL000,DS035_FL000,4348.711
DS021_FL000,DS032_FL000,4457.749
DS021_FL000,DS425_FL000,4722.778
DS026_FL000,DS030_FL000,0.000
DS026_FL000,DS036_FL000,247.605
DS026_FL000,DS037_FL000,2601.110
DS030_FL000,DS036_FL000,247.605
DS030_FL000,DS037_FL000,2601.110
DS031_FL000,SG005_FL000,258.920
DS031_FL000,DS625_FL000,2619.125
DS031_FL000,DS725_FL000,3956.682
DS032_FL000,SG010_FL000,2239.528
DS032_FL000,DS035_FL000,2643.542
DS033_FL000,SG005_FL000,3564.606
DS033_FL000,DS517_FL000,4217.311
